train_size,subset_path,val_precision,val_recall,val_f1,val_bal_acc
500,data/train_subsets/train_subset_500.csv,0.71484375,0.7625,0.7379032258064516,0.7285303347280334
1000,data/train_subsets/train_subset_1000.csv,0.7458333333333333,0.7458333333333333,0.7458333333333333,0.7453016039051603
2000,data/train_subsets/train_subset_2000.csv,0.7312252964426877,0.7708333333333334,0.7505070993914807,0.7431572524407253
3740,data/train_subsets/train_subset_3740.csv,0.774468085106383,0.7583333333333333,0.7663157894736842,0.7682880055788006
