year,round_number,driver_id,constructor_id,circuit_id,grid_position,quali_delta,quali_tm_delta,season_pts_driver,season_pts_team,last_3_avg,is_street_circuit,is_wet,points_scored
2024,3,alonso,aston_martin,melbourne,10,0.7949999999999875,-0.07000000000000739,12.0,21.0,6.0,1,0,1
2024,3,hulkenberg,haas_f1_team,melbourne,16,2.060999999999993,0.5489999999999924,1.0,1.0,0.5,1,0,1
2024,3,magnussen,haas_f1_team,melbourne,14,1.5120000000000005,-0.5489999999999924,0.0,3.0,0.0,1,0,1
2024,3,albon,williams,melbourne,12,1.2149999999999892,0.0,0.0,0.0,0.0,1,0,0
2024,3,ricciardo,rb,melbourne,18,1.5509999999999877,0.6779999999999973,0.0,6.0,0.0,1,0,0
2024,3,gasly,alpine,melbourne,17,2.066999999999993,0.3649999999999949,0.0,0.0,0.0,1,0,0
2024,3,bottas,kick_sauber,melbourne,13,1.4249999999999972,-0.847999999999999,0.0,0.0,0.0,1,0,0
2024,3,zhou,kick_sauber,melbourne,19,2.272999999999996,0.847999999999999,0.0,0.0,0.0,1,0,0
2024,3,ocon,alpine,melbourne,15,1.7019999999999982,-0.3649999999999949,0.0,0.0,0.0,1,0,0
2024,3,russell,mercedes,melbourne,7,0.8089999999999975,-0.23599999999999,18.0,26.0,9.0,1,0,0
2024,3,hamilton,mercedes,melbourne,11,1.0449999999999875,0.23599999999999,8.0,26.0,4.0,1,0,0
2024,3,verstappen,red_bull_racing,melbourne,1,0.0,-0.35899999999999466,51.0,97.0,25.5,1,0,0
2024,4,verstappen,red_bull_racing,suzuka,1,0.0,-0.0660000000000025,51.0,97.0,17.0,0,0,1
2024,4,perez,red_bull_racing,suzuka,2,0.0660000000000025,0.0660000000000025,46.0,123.0,15.333333333333334,0,0,1
2024,4,sainz,ferrari,suzuka,4,0.48499999999999943,-0.1039999999999992,40.0,93.0,20.0,0,0,1
2024,4,leclerc,ferrari,suzuka,8,0.5889999999999986,0.1039999999999992,47.0,108.0,15.666666666666666,0,0,1
2024,4,norris,mclaren,suzuka,3,0.2920000000000016,-0.2710000000000008,27.0,55.0,9.0,0,0,1
2024,4,alonso,aston_martin,suzuka,5,0.4890000000000043,-1.3379999999999939,16.0,25.0,5.333333333333333,0,0,1
2024,4,russell,mercedes,suzuka,9,0.8109999999999928,0.24199999999999022,18.0,26.0,6.0,0,0,1
2024,4,piastri,mclaren,suzuka,6,0.5630000000000024,0.2710000000000008,28.0,65.0,9.333333333333334,0,0,1
2024,4,hamilton,mercedes,suzuka,7,0.5690000000000026,-0.24199999999999022,8.0,32.0,2.6666666666666665,0,0,1
2024,4,tsunoda,rb,suzuka,10,1.215999999999994,-0.0589999999999975,6.0,6.0,2.0,0,0,1
2024,4,hulkenberg,haas_f1_team,suzuka,12,1.296999999999997,-0.6370000000000005,3.0,4.0,1.0,0,0,0
2024,4,stroll,aston_martin,suzuka,16,1.8269999999999982,1.3379999999999939,9.0,33.0,3.0,0,0,0
2024,4,magnussen,haas_f1_team,suzuka,18,1.9339999999999975,0.6370000000000005,1.0,4.0,0.3333333333333333,0,0,0
2024,4,bottas,kick_sauber,suzuka,13,1.3960000000000008,-0.5499999999999972,0.0,0.0,0.0,0,0,0
2024,4,ocon,alpine,suzuka,15,1.6140000000000043,-0.3079999999999927,0.0,0.0,0.0,0,0,0
2024,4,gasly,alpine,suzuka,17,1.921999999999997,0.3079999999999927,0.0,0.0,0.0,0,0,0
2024,4,sargeant,williams,suzuka,19,1.941999999999993,0.42499999999999716,0.0,0.0,0.0,0,0,0
2024,4,zhou,kick_sauber,suzuka,20,1.945999999999998,0.5499999999999972,0.0,0.0,0.0,0,0,0
2024,4,ricciardo,rb,suzuka,11,1.2749999999999915,0.0589999999999975,0.0,7.0,0.0,0,0,0
2024,4,albon,williams,suzuka,14,1.516999999999996,-0.42499999999999716,0.0,0.0,0.0,0,0,0
2024,5,verstappen,red_bull_racing,shanghai,1,0.0,-0.32200000000000273,77.0,141.0,17.0,0,0,1
2024,5,norris,mclaren,shanghai,4,0.5050000000000097,-0.10799999999998988,37.0,69.0,9.666666666666666,0,0,1
2024,5,perez,red_bull_racing,shanghai,2,0.32200000000000273,0.32200000000000273,64.0,166.0,15.333333333333334,0,0,1
2024,5,leclerc,ferrari,shanghai,6,0.6290000000000049,-0.007999999999995566,59.0,120.0,15.666666666666666,0,0,1
2024,5,sainz,ferrari,shanghai,7,0.6370000000000005,0.007999999999995566,55.0,132.0,18.333333333333332,0,0,1
2024,5,russell,mercedes,shanghai,8,0.7730000000000103,-1.1399999999999864,24.0,34.0,4.666666666666667,0,0,1
2024,5,alonso,aston_martin,shanghai,3,0.48799999999999955,-0.6899999999999977,24.0,33.0,7.333333333333333,0,0,1
2024,5,piastri,mclaren,shanghai,5,0.6129999999999995,0.10799999999998988,32.0,87.0,9.333333333333334,0,0,1
2024,5,hamilton,mercedes,shanghai,18,1.9129999999999967,1.1399999999999864,10.0,42.0,1.3333333333333333,0,0,1
2024,5,hulkenberg,haas_f1_team,shanghai,9,0.9440000000000026,-0.9120000000000061,3.0,4.0,1.0,0,0,1
2024,5,ocon,alpine,shanghai,13,1.5630000000000024,-0.06400000000000716,0.0,0.0,0.0,0,0,0
2024,5,albon,williams,shanghai,14,1.581000000000003,-1.1170000000000044,0.0,0.0,0.0,0,0,0
2024,5,gasly,alpine,shanghai,15,1.6270000000000095,0.06400000000000716,0.0,0.0,0.0,0,0,0
2024,5,zhou,kick_sauber,shanghai,16,1.8449999999999989,0.8399999999999892,0.0,0.0,0.0,0,0,0
2024,5,stroll,aston_martin,shanghai,11,1.1779999999999973,0.6899999999999977,9.0,40.0,2.6666666666666665,0,0,0
2024,5,magnussen,haas_f1_team,shanghai,17,1.8560000000000088,0.9120000000000061,1.0,5.0,0.3333333333333333,0,0,0
2024,5,sargeant,williams,shanghai,20,2.6980000000000075,1.1170000000000044,0.0,0.0,0.0,0,0,0
2024,5,ricciardo,rb,shanghai,12,1.274000000000001,-0.8119999999999976,0.0,7.0,0.0,0,0,0
2024,5,tsunoda,rb,shanghai,19,2.0859999999999985,0.8119999999999976,7.0,7.0,2.3333333333333335,0,0,0
2024,5,bottas,kick_sauber,shanghai,10,1.0050000000000097,-0.8399999999999892,0.0,0.0,0.0,0,0,0
2024,6,norris,mclaren,miami,5,0.35299999999999443,-0.08100000000000307,55.0,91.0,14.333333333333334,1,0,1
