year,driver_id,constructor_id,circuit_id,grid_position,quali_delta,quali_tm_delta,season_pts_driver,season_pts_team,last_3_avg,is_street_circuit,is_wet,points_scored
2025,verstappen,red_bull_racing,miami_gardens,1,0.0,-0.7390000000000043,1443.0,2134.0,17.0,1,1,1
2024,lawson,rb,yas_island,12,0.8769999999999953,0.0529999999999972,6.0,40.0,0.6666666666666666,0,0,0
2023,verstappen,red_bull_racing,spa_francorchamps,1,0.0,-0.8769999999999953,700.0,1147.0,26.0,0,1,1
2022,zhou,alfa_romeo,monza,14,1.8419999999999987,-0.2319999999999993,5.0,49.0,0.0,0,0,1
2022,leclerc,ferrari,monza,1,0.0,-0.2680000000000007,187.0,351.0,10.333333333333334,0,0,1
2022,albon,williams,yas_island,19,2.204000000000008,-0.0259999999999962,4.0,8.0,0.0,0,0,0
2024,bearman,haas_f1_team,baku,11,1.6030000000000086,-0.1329999999999955,6.0,68.0,6.0,1,0,1
2023,de_vries,alphatauri,sakhir,19,2.4129999999999967,0.7209999999999894,2.0,35.0,2.0,0,0,0
2024,norris,mclaren,melbourne,4,0.3999999999999915,-0.257000000000005,312.0,444.0,7.333333333333333,1,0,1
2022,sainz,ferrari,sakhir,3,0.1289999999999906,0.1289999999999906,0.0,26.0,0.0,0,0,1
2022,tsunoda,alphatauri,zandvoort,9,1.085000000000008,-0.0849999999999937,11.0,29.0,0.0,0,0,0
2024,alonso,aston_martin,suzuka,5,0.4890000000000043,-1.337999999999994,295.0,346.0,5.333333333333333,0,0,1
2025,sainz,williams,spielberg,19,1.610999999999997,0.4389999999999929,681.0,106.0,0.6666666666666666,0,0,0
2025,hulkenberg,kick_sauber,budapest,19,1.1910000000000025,0.4950000000000045,79.0,55.0,5.666666666666667,0,0,0
2022,magnussen,haas_f1_team,melbourne,17,2.38600000000001,0.1500000000000056,12.0,12.0,6.0,1,0,0
2024,ocon,alpine,barcelona,9,0.7259999999999991,0.2519999999999953,147.0,287.0,0.3333333333333333,0,1,1
2022,vettel,aston_martin,austin,12,2.0420000000000016,0.7999999999999972,32.0,45.0,4.0,0,0,1
2023,tsunoda,alphatauri,suzuka,9,1.3269999999999982,-0.2210000000000036,15.0,40.0,0.0,0,0,0
2025,albon,williams,las_vegas,16,8.286000000000001,7.923999999999992,111.0,160.0,0.0,1,0,0
2023,russell,mercedes,monaco,8,0.5990000000000038,0.2390000000000043,297.0,597.0,5.666666666666667,1,1,1
