year,round_number,driver_id,constructor_id,circuit_id,grid_position,quali_delta,quali_tm_delta,season_pts_driver,season_pts_team,last_3_avg,is_street_circuit,is_wet,race_time
2018,3,alonso,mclaren,shanghai,13,2.1370000000000005,-0.27299999999999613,16.0,22.0,8.0,0,1,30.639
2018,3,vettel,ferrari,shanghai,1,0.0,-0.0870000000000033,50.0,80.0,25.0,0,1,35.286
2018,3,sainz,renault,shanghai,9,1.7240000000000038,0.32500000000000284,1.0,23.0,0.5,0,1,35.763
2018,3,magnussen,haas_f1_team,shanghai,11,1.8910000000000053,0.4620000000000033,10.0,10.0,5.0,0,1,39.594
2018,3,ocon,force_india,shanghai,12,1.9620000000000033,0.2990000000000066,1.0,1.0,0.5,0,1,44.05
2018,3,perez,force_india,shanghai,8,1.6629999999999967,-0.2990000000000066,0.0,1.0,0.0,0,1,44.725
2018,3,vandoorne,mclaren,shanghai,14,2.4099999999999966,0.27299999999999613,6.0,28.0,3.0,0,1,49.373
2018,3,stroll,williams,shanghai,18,3.1899999999999977,0.22299999999999898,0.0,0.0,0.0,0,1,55.49
2018,3,sirotkin,williams,shanghai,16,2.9669999999999987,-0.22299999999999898,0.0,0.0,0.0,0,1,58.241
2018,3,ericsson,sauber,shanghai,20,3.8190000000000026,0.46000000000000796,2.0,2.0,1.0,0,1,62.604
2018,3,grosjean,haas_f1_team,shanghai,10,1.429000000000002,-0.4620000000000033,0.0,11.0,0.0,0,1,65.296
2018,3,gasly,toro_rosso,shanghai,17,3.0060000000000002,0.3059999999999974,12.0,12.0,6.0,0,1,66.33
2018,3,leclerc,sauber,shanghai,19,3.3589999999999947,-0.46000000000000796,0.0,2.0,0.0,0,1,82.575
2018,3,hartley,toro_rosso,shanghai,15,2.700000000000003,-0.3059999999999974,0.0,12.0,0.0,0,1,
2018,4,hamilton,mercedes,baku,2,0.17900000000000205,-0.1599999999999966,45.0,85.0,15.0,1,0,6224.291
2018,4,r_ikk_nen,ferrari,baku,6,0.9919999999999902,0.9919999999999902,30.0,84.0,10.0,1,0,2.46
2018,4,perez,force_india,baku,8,1.0489999999999924,0.02400000000000091,0.0,1.0,0.0,1,0,4.024
2018,4,vettel,ferrari,baku,1,0.0,-0.9919999999999902,54.0,102.0,18.0,1,0,5.329
2018,4,sainz,renault,baku,10,1.8529999999999944,0.2849999999999966,3.0,25.0,1.0,1,0,7.515
2018,4,leclerc,sauber,baku,14,2.2539999999999907,-1.7890000000000015,0.0,2.0,0.0,1,0,9.158
2018,4,alonso,mclaren,baku,13,2.5120000000000005,-0.4789999999999992,22.0,28.0,7.333333333333333,1,0,10.931000000000001
2018,4,stroll,williams,baku,11,2.086999999999989,-0.30100000000000193,0.0,0.0,0.0,1,0,12.546
2018,4,vandoorne,mclaren,baku,16,2.9909999999999997,0.4789999999999992,6.0,34.0,2.0,1,0,14.152
2018,4,hartley,toro_rosso,baku,20,15.855999999999995,12.858000000000004,0.0,12.0,0.0,1,0,18.03
2018,4,ericsson,sauber,baku,18,4.042999999999992,1.7890000000000015,2.0,10.0,0.6666666666666666,1,0,18.512
2018,4,gasly,toro_rosso,baku,17,2.9979999999999905,-12.858000000000004,12.0,13.0,4.0,1,0,24.72
2018,4,magnussen,haas_f1_team,baku,15,2.176000000000002,0.0,11.0,11.0,3.6666666666666665,1,0,40.663
2018,4,bottas,mercedes,baku,3,0.33899999999999864,0.1599999999999966,40.0,110.0,13.333333333333334,1,0,
2018,4,grosjean,haas_f1_team,baku,19,1.8356328502415453,0.0,0.0,11.0,0.0,1,0,
2018,4,verstappen,red_bull_racing,baku,5,0.4959999999999951,0.08299999999999841,18.0,55.0,6.0,1,0,
2018,4,ricciardo,red_bull_racing,baku,4,0.4129999999999967,-0.08299999999999841,37.0,55.0,12.333333333333334,1,0,
2018,4,hulkenberg,renault,baku,9,1.5679999999999978,-0.2849999999999966,22.0,35.0,7.333333333333333,1,0,
2018,4,ocon,force_india,baku,7,1.0249999999999915,-0.02400000000000091,1.0,16.0,0.3333333333333333,1,0,
2018,4,sirotkin,williams,baku,12,2.387999999999991,0.30100000000000193,0.0,4.0,0.0,1,0,
2018,5,hamilton,mercedes,barcelona,1,0.0,-0.03999999999999204,70.0,110.0,17.333333333333332,0,1,5729.972
2018,5,bottas,mercedes,barcelona,2,0.03999999999999204,0.03999999999999204,40.0,135.0,12.0,0,1,20.593
2018,5,verstappen,red_bull_racing,barcelona,5,0.6430000000000007,-0.001999999999995339,18.0,55.0,3.3333333333333335,0,1,26.873
