year,round_number,driver_id,constructor_id,circuit_id,grid_position,quali_delta,quali_tm_delta,season_pts_driver,season_pts_team,last_3_avg,is_street_circuit,is_wet,race_time,race_status
2020,3,bottas,mercedes,budapest,2,0.10699999999999932,0.10699999999999932,43.0,106.0,21.5,0,1,5781.925,Finished
2020,3,stroll,racing_point,budapest,3,0.9299999999999926,-0.16800000000000637,6.0,22.0,3.0,0,1,5830.052,Finished
2020,3,albon,red_bull_racing,budapest,13,2.2680000000000007,0.8659999999999997,12.0,45.0,6.0,0,1,5850.789,Finished
2020,3,vettel,ferrari,budapest,5,1.3269999999999982,-0.042999999999992156,1.0,19.0,0.5,0,1,,+1 Lap
2020,3,perez,racing_point,budapest,4,1.097999999999999,0.16800000000000637,16.0,34.0,8.0,0,1,,+1 Lap
2020,3,ricciardo,renault,budapest,11,2.2139999999999986,-0.057999999999992724,4.0,8.0,2.0,0,1,,+1 Lap
2020,3,sainz,mclaren,budapest,9,1.5799999999999983,0.06100000000000705,13.0,39.0,6.5,0,1,,+1 Lap
2020,3,magnussen,haas_f1_team,budapest,16,2.7049999999999983,-0.25499999999999545,0.0,0.0,0.0,0,1,,+1 Lap
2020,3,leclerc,ferrari,budapest,6,1.3699999999999903,0.042999999999992156,18.0,27.0,9.0,0,1,,+1 Lap
2020,3,kvyat,alphatauri,budapest,17,2.756999999999991,0.695999999999998,1.0,7.0,0.5,0,1,,+1 Lap
2020,3,norris,mclaren,budapest,8,1.5189999999999912,-0.06100000000000705,26.0,41.0,13.0,0,1,,+1 Lap
2020,3,ocon,renault,budapest,14,2.2719999999999914,0.057999999999992724,4.0,12.0,2.0,0,1,,+1 Lap
2020,3,r_ikk_nen,alfa_romeo_racing,budapest,20,3.1670000000000016,0.10800000000000409,0.0,2.0,0.0,0,1,,+1 Lap
2020,3,grosjean,haas_f1_team,budapest,18,2.9599999999999937,0.25499999999999545,0.0,1.0,0.0,0,1,,+1 Lap
2020,3,giovinazzi,alfa_romeo_racing,budapest,19,3.0589999999999975,-0.10800000000000409,2.0,2.0,1.0,0,1,,+1 Lap
2020,3,russell,williams,budapest,12,2.137999999999991,-0.5200000000000102,0.0,0.0,0.0,0,1,,+1 Lap
2020,3,latifi,williams,budapest,15,2.6580000000000013,0.5200000000000102,0.0,0.0,0.0,0,1,,+5 Laps
2020,3,gasly,alphatauri,budapest,10,2.060999999999993,-0.695999999999998,6.0,7.0,3.0,0,1,,Engine
2020,4,hamilton,mercedes,silverstone,1,0.0,-0.3130000000000024,63.0,121.0,21.0,0,0,5281.283,Finished
2020,4,verstappen,red_bull_racing,silverstone,3,1.0220000000000056,-1.2199999999999989,33.0,55.0,11.0,0,0,5287.139,Finished
2020,4,leclerc,ferrari,silverstone,4,1.1240000000000094,-0.6499999999999915,18.0,27.0,6.0,0,0,5299.7570000000005,Finished
2020,4,ricciardo,renault,silverstone,8,1.706000000000003,-0.20000000000000284,8.0,12.0,2.6666666666666665,0,0,5300.933,Finished
2020,4,norris,mclaren,silverstone,5,1.4789999999999992,-0.18300000000000693,26.0,41.0,8.666666666666666,0,0,5303.56,Finished
2020,4,ocon,renault,silverstone,9,1.906000000000006,0.20000000000000284,4.0,24.0,1.3333333333333333,0,0,5308.22,Finished
2020,4,gasly,alphatauri,silverstone,11,2.0400000000000063,-0.40099999999999625,6.0,7.0,2.0,0,0,5312.4710000000005,Finished
2020,4,albon,red_bull_racing,silverstone,12,2.2420000000000044,1.2199999999999989,22.0,74.0,7.333333333333333,0,0,5313.953,Finished
2020,4,stroll,racing_point,silverstone,6,1.5360000000000014,-0.48799999999999955,18.0,40.0,6.0,0,0,5318.594,Finished
2020,4,vettel,ferrari,silverstone,10,1.774000000000001,0.6499999999999915,9.0,42.0,3.0,0,0,5323.14,Finished
2020,4,bottas,mercedes,silverstone,2,0.3130000000000024,0.3130000000000024,58.0,146.0,19.333333333333332,0,0,5323.450000000001,Finished
2020,4,russell,williams,silverstone,15,2.429000000000002,-0.972999999999999,0.0,0.0,0.0,0,0,5333.287,Finished
2020,4,sainz,mclaren,silverstone,7,1.6620000000000061,0.18300000000000693,15.0,51.0,5.0,0,0,5334.653,Finished
2020,4,giovinazzi,alfa_romeo_racing,silverstone,17,2.861000000000004,-0.20199999999999818,2.0,2.0,0.6666666666666666,0,0,5335.488,Finished
2020,4,latifi,williams,silverstone,20,3.402000000000001,0.972999999999999,0.0,0.0,0.0,0,0,5335.832,Finished
2020,4,grosjean,haas_f1_team,silverstone,19,3.013999999999996,0.15899999999999181,0.0,1.0,0.0,0,0,5336.3330000000005,Finished
2020,4,r_ikk_nen,alfa_romeo_racing,silverstone,18,3.0630000000000024,0.20199999999999818,0.0,2.0,0.0,0,0,,+1 Lap
2020,4,kvyat,alphatauri,silverstone,14,2.4410000000000025,0.40099999999999625,1.0,13.0,0.3333333333333333,0,0,,Accident
2020,4,magnussen,haas_f1_team,silverstone,16,2.855000000000004,-0.15899999999999181,1.0,1.0,0.3333333333333333,0,0,,Collision
2020,4,hulkenberg,racing_point,silverstone,13,2.024000000000001,0.48799999999999955,0.0,42.0,0.0,0,0,,Power Unit
2020,5,verstappen,red_bull_racing,silverstone,4,1.0220000000000056,-0.465999999999994,52.0,78.0,17.333333333333332,0,0,4800.4335,Finished
2020,5,hamilton,mercedes,silverstone,2,0.06300000000000239,0.06300000000000239,88.0,146.0,25.333333333333332,0,0,4800.4335,Finished
2020,5,bottas,mercedes,silverstone,1,0.0,-0.06300000000000239,58.0,165.0,11.0,0,0,4801.224,Finished
2020,5,leclerc,ferrari,silverstone,8,1.460000000000008,-0.46399999999999864,33.0,43.0,5.0,0,0,4811.282,Finished
2020,5,albon,red_bull_racing,silverstone,9,1.4879999999999995,0.465999999999994,26.0,103.0,8.666666666666666,0,0,4821.139,Finished
2020,5,stroll,racing_point,silverstone,6,1.274000000000001,0.34600000000000364,20.0,42.0,6.666666666666667,0,0,4824.531,Finished
2020,5,hulkenberg,racing_point,silverstone,3,0.9279999999999973,-0.34600000000000364,0.0,50.0,0.0,0,0,4837.944,Finished
2020,5,ocon,renault,silverstone,11,1.8569999999999993,0.7139999999999986,12.0,32.0,2.6666666666666665,0,0,4846.7660000000005,Finished
2020,5,norris,mclaren,silverstone,10,1.6240000000000094,-0.3049999999999926,36.0,51.0,6.666666666666667,0,0,4847.537,Finished
2020,5,kvyat,alphatauri,silverstone,16,2.7280000000000086,1.3590000000000089,1.0,13.0,0.3333333333333333,0,0,4851.662,Finished
2020,5,gasly,alphatauri,silverstone,7,1.3689999999999998,-1.3590000000000089,12.0,14.0,2.0,0,0,4852.635,Finished
2020,5,vettel,ferrari,silverstone,12,1.9240000000000066,0.46399999999999864,10.0,55.0,3.0,0,0,4855.363,Finished
2020,5,sainz,mclaren,silverstone,13,1.929000000000002,0.3049999999999926,15.0,53.0,1.6666666666666667,0,0,4856.063,Finished
2020,5,ricciardo,renault,silverstone,5,1.1430000000000007,-0.7139999999999986,20.0,36.0,6.666666666666667,0,0,,+1 Lap
2020,5,r_ikk_nen,alfa_romeo_racing,silverstone,20,3.3389999999999986,0.05999999999998806,0.0,2.0,0.0,0,0,,+1 Lap
2020,5,grosjean,haas_f1_team,silverstone,14,2.1000000000000085,-0.9819999999999993,0.0,1.0,0.0,0,0,,+1 Lap
2020,5,giovinazzi,alfa_romeo_racing,silverstone,19,3.2790000000000106,-0.05999999999998806,2.0,2.0,0.0,0,0,,+1 Lap
2020,5,russell,williams,silverstone,15,2.301000000000002,-0.9750000000000085,0.0,0.0,0.0,0,0,,+1 Lap
2020,5,latifi,williams,silverstone,18,3.2760000000000105,0.9750000000000085,0.0,0.0,0.0,0,0,,+1 Lap
2020,5,magnussen,haas_f1_team,silverstone,17,3.082000000000008,0.9819999999999993,1.0,1.0,0.3333333333333333,0,0,,Retired
2020,6,hamilton,mercedes,barcelona,1,0.0,-0.0589999999999975,107.0,180.0,23.333333333333332,0,0,5505.279,Finished
2020,6,verstappen,red_bull_racing,barcelona,3,0.7079999999999984,-0.7369999999999948,77.0,113.0,20.666666666666668,0,0,5529.456,Finished
2020,6,bottas,mercedes,barcelona,2,0.0589999999999975,0.0589999999999975,73.0,205.0,10.0,0,0,5550.031000000001,Finished
2020,6,stroll,racing_point,barcelona,5,1.0049999999999955,0.10699999999999932,28.0,56.0,7.333333333333333,0,0,,+1 Lap
2020,6,perez,racing_point,barcelona,4,0.8979999999999961,-0.10699999999999932,22.0,68.0,7.333333333333333,0,0,,+1 Lap
2020,6,sainz,mclaren,barcelona,7,1.2920000000000016,-0.2079999999999984,15.0,53.0,0.6666666666666666,0,0,,+1 Lap
2020,6,vettel,ferrari,barcelona,11,1.5840000000000032,0.2150000000000034,10.0,55.0,3.0,0,0,,+1 Lap
2020,6,albon,red_bull_racing,barcelona,6,1.4449999999999932,0.7369999999999948,36.0,131.0,8.0,0,0,,+1 Lap
2020,6,gasly,alphatauri,barcelona,10,1.215999999999994,-0.3919999999999959,12.0,14.0,2.0,0,0,,+1 Lap
2020,6,norris,mclaren,barcelona,8,1.5,0.2079999999999984,38.0,61.0,4.0,0,0,,+1 Lap
2020,6,ricciardo,renault,barcelona,13,1.61399999999999,-0.3689999999999998,20.0,36.0,5.333333333333333,0,0,,+1 Lap
2020,6,kvyat,alphatauri,barcelona,12,1.6079999999999899,0.3919999999999959,2.0,16.0,0.3333333333333333,0,0,,+1 Lap
2020,6,ocon,renault,barcelona,15,1.9829999999999899,0.3689999999999998,16.0,36.0,4.0,0,0,,+1 Lap
2020,6,r_ikk_nen,alfa_romeo_racing,barcelona,14,1.8019999999999925,-1.311000000000007,0.0,2.0,0.0,0,0,,+1 Lap
2020,6,magnussen,haas_f1_team,barcelona,16,2.323999999999998,-0.18099999999999739,1.0,1.0,0.3333333333333333,0,0,,+1 Lap
2020,6,giovinazzi,alfa_romeo_racing,barcelona,20,3.1129999999999995,1.311000000000007,2.0,2.0,0.0,0,0,,+1 Lap
2020,6,russell,williams,barcelona,18,2.5150000000000006,-0.4329999999999927,0.0,0.0,0.0,0,0,,+1 Lap
2020,6,latifi,williams,barcelona,19,2.9479999999999933,0.4329999999999927,0.0,0.0,0.0,0,0,,+2 Laps
