year,round,event,driver,team,quali_position,avg_race_lap_time_s,lap_delta_vs_event_mean_s,finish_position,points_awarded,prev_points_total,rolling_points_last3,driver_points_per_race,team_prev_points_total,team_points_per_race,scored_points
2020,2,Styrian Grand Prix,GAS,AlphaTauri,8.0,69.13802439024391,0.2761849824990321,15.0,0.0,6.0,6.0,6.0,7.0,2.3333333333333335,0
2020,2,Styrian Grand Prix,RUS,Williams,12.0,69.33913793103449,0.47729852328960476,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020,2,Styrian Grand Prix,LAT,Williams,18.0,69.52368965517242,0.6618502474275374,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020,2,Styrian Grand Prix,OCO,Renault,5.0,69.76108333333333,0.8992439255884506,18.0,0.0,4.0,4.0,4.0,8.0,2.6666666666666665,0
2020,2,Styrian Grand Prix,LEC,Ferrari,11.0,89.66155347878662,0.09844461402451214,19.0,0.0,18.0,18.0,18.0,19.0,9.5,0
2020,2,Styrian Grand Prix,VET,Ferrari,10.0,89.66155347878662,0.09844461402451214,20.0,0.0,1.0,1.0,1.0,19.0,6.333333333333333,0
2020,3,Hungarian Grand Prix,HAM,Mercedes,1.0,80.47994545454547,-0.2736309001343358,1.0,26.0,37.0,37.0,18.5,80.0,20.0,1
2020,3,Hungarian Grand Prix,VER,Red Bull Racing,7.0,80.38690909090909,-0.36666726377072223,2.0,18.0,15.0,15.0,7.5,27.0,6.75,1
2020,3,Hungarian Grand Prix,BOT,Mercedes,2.0,79.73963636363636,-1.0139399910434435,3.0,15.0,43.0,43.0,21.5,106.0,21.2,1
2020,3,Hungarian Grand Prix,STR,Racing Point,3.0,80.54338461538461,-0.21019173929519752,4.0,12.0,6.0,6.0,3.0,22.0,5.5,1
2020,3,Hungarian Grand Prix,ALB,Red Bull Racing,13.0,80.49442424242423,-0.25915211225557755,5.0,10.0,12.0,12.0,6.0,45.0,9.0,1
2020,3,Hungarian Grand Prix,VET,Ferrari,5.0,80.87154285714286,0.11796650246304807,6.0,8.0,1.0,1.0,0.5,19.0,4.75,1
2020,3,Hungarian Grand Prix,PER,Racing Point,4.0,80.78252941176471,0.028953057084905254,7.0,6.0,16.0,16.0,8.0,34.0,6.8,1
2020,3,Hungarian Grand Prix,RIC,Renault,11.0,80.58153333333333,-0.1720430213464823,8.0,4.0,4.0,4.0,2.0,8.0,2.0,1
2020,3,Hungarian Grand Prix,SAI,McLaren,9.0,80.69857692307693,-0.05499943160288012,9.0,2.0,13.0,13.0,6.5,39.0,9.75,1
2020,3,Hungarian Grand Prix,MAG,Haas F1 Team,16.0,80.91264285714284,0.159066502463034,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1
2020,3,Hungarian Grand Prix,LEC,Ferrari,6.0,81.44032258064517,0.6867462259653649,11.0,0.0,18.0,18.0,9.0,27.0,5.4,0
2020,3,Hungarian Grand Prix,KVY,AlphaTauri,17.0,81.48871428571428,0.7351379310344726,12.0,0.0,1.0,1.0,0.5,7.0,1.75,0
2020,3,Hungarian Grand Prix,NOR,McLaren,8.0,80.98886666666667,0.23529031198685857,13.0,0.0,26.0,26.0,13.0,41.0,8.2,0
2020,3,Hungarian Grand Prix,OCO,Renault,14.0,81.03613793103447,0.2825615763546665,14.0,0.0,4.0,4.0,2.0,12.0,2.4,0
2020,3,Hungarian Grand Prix,RAI,Alfa Romeo Racing,20.0,80.93970370370371,0.1861273490239057,15.0,0.0,0.0,0.0,0.0,2.0,0.5,0
2020,3,Hungarian Grand Prix,GRO,Haas F1 Team,18.0,81.29188888888888,0.5383125342090693,16.0,0.0,0.0,0.0,0.0,1.0,0.2,0
2020,3,Hungarian Grand Prix,GIO,Alfa Romeo Racing,19.0,80.62853571428572,-0.12504064039409002,17.0,0.0,2.0,2.0,1.0,2.0,0.4,0
2020,3,Hungarian Grand Prix,RUS,Williams,12.0,81.00431034482759,0.2507339901477792,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020,3,Hungarian Grand Prix,LAT,Williams,15.0,81.5472,0.7936236453201957,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020,3,Hungarian Grand Prix,GAS,AlphaTauri,10.0,89.66155347878662,0.09844461402451214,20.0,0.0,6.0,6.0,3.0,7.0,1.4,0
2020,4,British Grand Prix,HAM,Mercedes,1.0,90.061275,-1.0900099829351717,1.0,25.0,63.0,63.0,21.0,121.0,20.166666666666668,1
2020,4,British Grand Prix,VER,Red Bull Racing,3.0,90.374125,-0.7771599829351601,2.0,19.0,33.0,33.0,11.0,55.0,9.166666666666666,1
2020,4,British Grand Prix,LEC,Ferrari,4.0,91.2248157894737,0.07353080653852828,3.0,15.0,18.0,18.0,6.0,27.0,4.5,1
2020,4,British Grand Prix,RIC,Renault,8.0,91.15380555555556,0.002520572620397843,4.0,12.0,8.0,8.0,2.6666666666666665,12.0,2.0,1
2020,4,British Grand Prix,NOR,McLaren,5.0,91.25119444444445,0.09990946150928437,5.0,10.0,26.0,26.0,8.666666666666666,41.0,6.833333333333333,1
2020,4,British Grand Prix,OCO,Renault,9.0,91.23076470588234,0.07947972294716976,6.0,8.0,4.0,4.0,1.3333333333333333,24.0,3.4285714285714284,1
2020,4,British Grand Prix,GAS,AlphaTauri,11.0,91.22945454545454,0.07816956251937768,7.0,6.0,6.0,6.0,2.0,7.0,1.1666666666666667,1
2020,4,British Grand Prix,ALB,Red Bull Racing,12.0,90.54534285714284,-0.6059421257923248,8.0,4.0,22.0,22.0,7.333333333333333,74.0,10.571428571428571,1
2020,4,British Grand Prix,STR,Racing Point,6.0,91.58914285714286,0.43785787420769395,9.0,2.0,18.0,18.0,6.0,40.0,6.666666666666667,1
2020,4,British Grand Prix,VET,Ferrari,10.0,91.59618181818183,0.44489683524666646,10.0,1.0,9.0,9.0,3.0,42.0,6.0,1
2020,4,British Grand Prix,BOT,Mercedes,2.0,90.19897435897437,-0.9523106239607984,11.0,0.0,58.0,58.0,19.333333333333332,146.0,20.857142857142858,0
2020,4,British Grand Prix,RUS,Williams,15.0,91.7103870967742,0.5591021138390317,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020,4,British Grand Prix,SAI,McLaren,7.0,91.28299999999999,0.13171501706482047,13.0,0.0,15.0,15.0,5.0,51.0,7.285714285714286,0
2020,4,British Grand Prix,GIO,Alfa Romeo Racing,17.0,91.75631249999999,0.6050275170648263,14.0,0.0,2.0,2.0,0.6666666666666666,2.0,0.3333333333333333,0
2020,4,British Grand Prix,LAT,Williams,20.0,91.74845161290324,0.597166629968072,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020,4,British Grand Prix,GRO,Haas F1 Team,19.0,91.23803225806452,0.08674727512935476,16.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0
2020,4,British Grand Prix,RAI,Alfa Romeo Racing,18.0,92.20776923076923,1.0564842478340637,17.0,0.0,0.0,0.0,0.0,2.0,0.2857142857142857,0
2020,4,British Grand Prix,KVY,AlphaTauri,14.0,92.443,1.2917150170648313,18.0,0.0,1.0,1.0,0.3333333333333333,13.0,1.8571428571428572,0
2020,4,British Grand Prix,MAG,Haas F1 Team,16.0,89.66155347878662,0.09844461402451214,19.0,0.0,1.0,1.0,0.3333333333333333,1.0,0.14285714285714285,0
2020,4,British Grand Prix,HUL,Racing Point,13.0,89.66155347878662,0.09844461402451214,20.0,0.0,0.0,0.0,0.0,42.0,6.0,0
2020,5,70th Anniversary Grand Prix,VER,Red Bull Racing,4.0,91.10746938775509,-1.1704173224845675,1.0,25.0,52.0,52.0,13.0,78.0,9.75,1
2020,5,70th Anniversary Grand Prix,HAM,Mercedes,2.0,91.4657,-0.8121867102396578,2.0,19.0,88.0,76.0,22.0,146.0,18.25,1
2020,5,70th Anniversary Grand Prix,BOT,Mercedes,1.0,91.50651020408162,-0.7713765061580347,3.0,15.0,58.0,33.0,14.5,165.0,18.333333333333332,1
2020,5,70th Anniversary Grand Prix,LEC,Ferrari,8.0,91.93914000000002,-0.3387467102396329,4.0,12.0,33.0,15.0,8.25,43.0,5.375,1
2020,5,70th Anniversary Grand Prix,ALB,Red Bull Racing,9.0,91.78685714285713,-0.491029567382526,5.0,10.0,26.0,26.0,6.5,103.0,11.444444444444445,1
2020,5,70th Anniversary Grand Prix,STR,Racing Point,6.0,91.96777551020409,-0.31011120003556414,6.0,8.0,20.0,20.0,5.0,42.0,5.25,1
