year,round,event,driver,team,quali_position,avg_race_lap_time_s,lap_delta_vs_event_mean_s,finish_position,points_awarded,prev_points_total,rolling_points_last3,driver_points_per_race,team_prev_points_total,team_points_per_race,scored_points
2018,1,Australian Grand Prix,VET,Ferrari,3.0,88.05784313725489,-1.1607544723068628,1,25.0,0.0,0.0,0.0,0.0,0.0,1
2018,1,Australian Grand Prix,HAM,Mercedes,1.0,87.96932653061225,-1.249271078949505,2,18.0,0.0,0.0,0.0,0.0,0.0,1
2018,1,Australian Grand Prix,RAI,Ferrari,2.0,88.05714285714284,-1.1614547524189192,3,15.0,0.0,0.0,0.0,25.0,25.0,1
2018,1,Australian Grand Prix,RIC,Red Bull Racing,5.0,88.61956862745097,-0.5990289821107808,4,12.0,0.0,0.0,0.0,0.0,0.0,1
2018,1,Australian Grand Prix,ALO,McLaren,11.0,89.14454901960785,-0.07404858995390384,5,10.0,0.0,0.0,0.0,0.0,0.0,1
2018,1,Australian Grand Prix,VER,Red Bull Racing,4.0,88.93770212765956,-0.28089548190219205,6,8.0,0.0,0.0,0.0,12.0,12.0,1
2018,1,Australian Grand Prix,HUL,Renault,8.0,89.11999999999999,-0.09859760956176444,7,6.0,0.0,0.0,0.0,0.0,0.0,1
2018,1,Australian Grand Prix,BOT,Mercedes,10.0,89.3206875,0.10208989043825056,8,4.0,0.0,0.0,0.0,18.0,18.0,1
2018,1,Australian Grand Prix,VAN,McLaren,12.0,89.31820833333332,0.099610723771562,9,2.0,0.0,0.0,0.0,10.0,10.0,1
2018,1,Australian Grand Prix,SAI,Renault,9.0,89.35380434782608,0.13520673826432983,10,1.0,0.0,0.0,0.0,6.0,6.0,1
2018,1,Australian Grand Prix,PER,Force India,13.0,89.51073913043477,0.2921415208730167,11,0.0,0.0,0.0,0.0,0.0,0.0,0
2018,1,Australian Grand Prix,OCO,Force India,15.0,89.69455813953488,0.475960529973122,12,0.0,0.0,0.0,0.0,0.0,0.0,0
2018,1,Australian Grand Prix,LEC,Sauber,18.0,89.950575,0.7319773904382458,13,0.0,0.0,0.0,0.0,0.0,0.0,0
2018,1,Australian Grand Prix,STR,Williams,14.0,90.27055813953487,1.0519605299731154,14,0.0,0.0,0.0,0.0,0.0,0.0,0
2018,1,Australian Grand Prix,HAR,Toro Rosso,16.0,90.2903409090909,1.071743299529146,15,0.0,0.0,0.0,0.0,0.0,0.0,0
2018,1,Australian Grand Prix,GRO,Haas F1 Team,7.0,90.24495454545455,1.0263569358927924,16,0.0,0.0,0.0,0.0,0.0,0.0,0
2018,1,Australian Grand Prix,MAG,Haas F1 Team,6.0,90.3485,1.1299023904382466,17,0.0,0.0,0.0,0.0,0.0,0.0,0
2018,1,Australian Grand Prix,GAS,Toro Rosso,20.0,91.06600000000002,1.847402390438262,18,0.0,0.0,0.0,0.0,0.0,0.0,0
2018,1,Australian Grand Prix,ERI,Sauber,17.0,91.63010092551778,0.14061943768871524,19,0.0,0.0,0.0,0.0,0.0,0.0,0
2018,1,Australian Grand Prix,SIR,Williams,19.0,91.63010092551778,0.14061943768871524,20,0.0,0.0,0.0,0.0,0.0,0.0,0
2018,2,Bahrain Grand Prix,VET,Ferrari,1.0,95.44844230769232,-1.090186296690618,1,25.0,25.0,25.0,25.0,40.0,20.0,1
2018,2,Bahrain Grand Prix,BOT,Mercedes,3.0,95.42942307692306,-1.1092055274598778,2,18.0,4.0,4.0,4.0,22.0,11.0,1
2018,2,Bahrain Grand Prix,HAM,Mercedes,4.0,95.25668,-1.281948604382933,3,15.0,18.0,18.0,18.0,40.0,13.333333333333334,1
2018,2,Bahrain Grand Prix,GAS,Toro Rosso,6.0,96.04665999999999,-0.4919686043829472,4,12.0,0.0,0.0,0.0,0.0,0.0,1
2018,2,Bahrain Grand Prix,MAG,Haas F1 Team,7.0,96.30617647058823,-0.23245213379470897,5,10.0,0.0,0.0,0.0,0.0,0.0,1
2018,2,Bahrain Grand Prix,HUL,Renault,8.0,96.48207999999997,-0.05654860438296794,6,8.0,6.0,6.0,6.0,7.0,3.5,1
2018,2,Bahrain Grand Prix,ALO,McLaren,13.0,96.46581632653059,-0.0728122778523499,7,6.0,10.0,10.0,10.0,12.0,6.0,1
2018,2,Bahrain Grand Prix,VAN,McLaren,14.0,96.73179591836735,0.1931673139844179,8,4.0,2.0,2.0,2.0,18.0,6.0,1
2018,2,Bahrain Grand Prix,ERI,Sauber,17.0,97.19689999999999,0.6582713956170494,9,2.0,0.0,0.0,0.0,0.0,0.0,1
2018,2,Bahrain Grand Prix,OCO,Force India,9.0,96.99058333333333,0.45195472895039757,10,1.0,0.0,0.0,0.0,0.0,0.0,1
2018,2,Bahrain Grand Prix,SAI,Renault,10.0,97.03858333333335,0.4999547289504136,11,0.0,1.0,1.0,1.0,15.0,5.0,0
2018,2,Bahrain Grand Prix,LEC,Sauber,19.0,97.20900000000002,0.6703713956170816,12,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,0
2018,2,Bahrain Grand Prix,GRO,Haas F1 Team,16.0,96.71231914893616,0.1736905445532244,13,0.0,0.0,0.0,0.0,10.0,3.3333333333333335,0
2018,2,Bahrain Grand Prix,STR,Williams,20.0,97.3101914893617,0.7715628849787635,14,0.0,0.0,0.0,0.0,0.0,0.0,0
2018,2,Bahrain Grand Prix,SIR,Williams,18.0,97.39823404255318,0.8596054381702487,15,0.0,0.0,0.0,0.0,0.0,0.0,0
2018,2,Bahrain Grand Prix,PER,Force India,12.0,97.00720833333334,0.46857972895040234,16,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0
2018,2,Bahrain Grand Prix,HAR,Toro Rosso,11.0,96.81372916666668,0.2751005622837397,17,0.0,0.0,0.0,0.0,12.0,4.0,0
2018,2,Bahrain Grand Prix,RAI,Ferrari,2.0,95.7738,-0.7648286043829415,18,0.0,15.0,15.0,15.0,65.0,21.666666666666668,0
2018,2,Bahrain Grand Prix,VER,Red Bull Racing,15.0,91.63010092551778,0.14061943768871524,19,0.0,8.0,8.0,8.0,20.0,10.0,0
2018,2,Bahrain Grand Prix,RIC,Red Bull Racing,5.0,98.684,2.1453713956170617,20,0.0,12.0,12.0,12.0,20.0,6.666666666666667,0
2018,3,Chinese Grand Prix,RIC,Red Bull Racing,6.0,97.96468750000001,-1.4264268162392995,1,25.0,12.0,12.0,6.0,20.0,5.0,1
2018,3,Chinese Grand Prix,BOT,Mercedes,3.0,98.22803999999998,-1.1630743162393316,2,18.0,22.0,22.0,11.0,55.0,13.75,1
2018,3,Chinese Grand Prix,RAI,Ferrari,2.0,98.41379166666667,-0.9773226495726419,3,15.0,15.0,15.0,7.5,65.0,16.25,1
2018,3,Chinese Grand Prix,HAM,Mercedes,4.0,98.34612499999999,-1.0449893162393238,4,12.0,33.0,33.0,16.5,73.0,14.6,1
2018,3,Chinese Grand Prix,VER,Red Bull Racing,5.0,98.03251063829788,-1.3586036779414314,5,10.0,8.0,8.0,4.0,45.0,9.0,1
2018,3,Chinese Grand Prix,HUL,Renault,7.0,99.0204375,-0.37067681623931037,6,8.0,14.0,14.0,7.0,15.0,3.75,1
